servername,gamescore,servePointProbability
Deiton Baughman,15-0,.83333331
Deiton Baughman,15-15,.75
Deiton Baughman,15-30,.75
Deiton Baughman,15-40,1
Deiton Baughman,30-0,.80000001
Deiton Baughman,30-15,.5
Deiton Baughman,30-30,.40000001
Deiton Baughman,30-40,.5
Deiton Baughman,40-0,.75
Deiton Baughman,40-15,1
Deiton Baughman,40-30,.5
Deiton Baughman,40-40,.25
Deiton Baughman,40-50,.33333334
Deiton Baughman,50-40,1
Arthur De Greef,0-0,.58333331
Arthur De Greef,0-15,.60000002
Arthur De Greef,0-30,.5
Arthur De Greef,0-40,0
Arthur De Greef,15-0,.5
Arthur De Greef,15-15,.69230771
Arthur De Greef,15-30,.5
Arthur De Greef,15-40,.66666669
Arthur De Greef,30-0,.2857143
Arthur De Greef,30-15,.78571427
Arthur De Greef,30-30,.66666669
Arthur De Greef,30-40,.5
Arthur De Greef,40-0,1
Arthur De Greef,40-15,.45454547
Arthur De Greef,40-30,.5
Arthur De Greef,40-40,.75
Arthur De Greef,40-50,.33333334
Arthur De Greef,50-40,.55555558
Marton Fucsovics,0-0,.52173913
Marton Fucsovics,0-15,.36363637
Marton Fucsovics,0-30,.71428573
Marton Fucsovics,0-40,1
Marton Fucsovics,15-0,.66666669
Marton Fucsovics,15-15,.5
Marton Fucsovics,15-30,.33333334
Marton Fucsovics,15-40,.625
Marton Fucsovics,30-0,.75
Marton Fucsovics,30-15,.16666667
Marton Fucsovics,30-30,.625
Marton Fucsovics,30-40,.5
Marton Fucsovics,40-0,.83333331
Marton Fucsovics,40-15,1
Marton Fucsovics,40-30,.80000001
Marton Fucsovics,40-40,.5
Marton Fucsovics,40-50,.80000001
Marton Fucsovics,50-40,.80000001
Nick Kyrgios,0-0,.67850101
Nick Kyrgios,0-15,.65030676
Nick Kyrgios,0-30,.66666669
Nick Kyrgios,0-40,.57894737
Nick Kyrgios,15-0,.63953489
Nick Kyrgios,15-15,.6695652
Nick Kyrgios,15-30,.59649122
Nick Kyrgios,15-40,.63157892
Nick Kyrgios,30-0,.67272729
Nick Kyrgios,30-15,.67256635
Nick Kyrgios,30-30,.69718307
Nick Kyrgios,30-40,.65822786
Nick Kyrgios,40-0,.6081081
Nick Kyrgios,40-15,.72380954
Nick Kyrgios,40-30,.64968151
Nick Kyrgios,40-40,.6388889
Nick Kyrgios,40-50,.66666669
Nick Kyrgios,50-40,.5869565
Switzerland Doubles,0-0,.60000002
Switzerland Doubles,0-15,.69999999
Switzerland Doubles,0-30,.66666669
Switzerland Doubles,0-40,1
Switzerland Doubles,15-0,.66666669
Switzerland Doubles,15-15,.66666669
Switzerland Doubles,15-30,1
Switzerland Doubles,15-40,1
Switzerland Doubles,30-0,.80000001
Switzerland Doubles,30-15,.69999999
Switzerland Doubles,30-30,.55555558
Switzerland Doubles,30-40,.80000001
Switzerland Doubles,40-0,.875
Switzerland Doubles,40-15,.75
Switzerland Doubles,40-30,.85714287
Switzerland Doubles,40-40,.66666669
Switzerland Doubles,40-50,.75
Switzerland Doubles,50-40,.5
Colombia Doubles,0-0,.63157892
Colombia Doubles,0-15,.5714286
Colombia Doubles,0-30,.33333334
Colombia Doubles,0-40,1
Colombia Doubles,15-0,.58333331
Colombia Doubles,15-15,.44444445
Colombia Doubles,15-30,.5
Colombia Doubles,15-40,.80000001
Colombia Doubles,30-0,1
Colombia Doubles,30-15,.5
Colombia Doubles,30-30,.60000002
Colombia Doubles,30-40,.16666667
Colombia Doubles,40-0,.71428573
Colombia Doubles,40-15,.75
Colombia Doubles,40-30,.5
Colombia Doubles,40-40,1
Colombia Doubles,50-40,1
Marcelo Demoliner,0-0,.76190478
Marcelo Demoliner,0-15,.40000001
Marcelo Demoliner,0-30,.66666669
Marcelo Demoliner,0-40,1
Marcelo Demoliner,15-0,.75
Marcelo Demoliner,15-15,1
Marcelo Demoliner,15-30,1
Marcelo Demoliner,15-40,0
Marcelo Demoliner,30-0,.5
Marcelo Demoliner,30-15,.66666669
Marcelo Demoliner,30-30,.83333331
Marcelo Demoliner,30-40,1
Marcelo Demoliner,40-0,.83333331
Marcelo Demoliner,40-15,.44444445
Marcelo Demoliner,40-30,.69999999
Marcelo Demoliner,40-40,.5714286
Marcelo Demoliner,40-50,.33333334
Marcelo Demoliner,50-40,.5
Martin Klizan,0-0,.61217391
Martin Klizan,0-15,.62780267
Martin Klizan,0-30,.51807231
Martin Klizan,0-40,.5
Martin Klizan,15-0,.57670456
Martin Klizan,15-15,.61937714
Martin Klizan,15-30,.53594774
Martin Klizan,15-40,.56043959
Martin Klizan,30-0,.55172414
Martin Klizan,30-15,.65185183
Martin Klizan,30-30,.59659094
Martin Klizan,30-40,.58196723
Martin Klizan,40-0,.6964286
Martin Klizan,40-15,.6761905
Martin Klizan,40-30,.60115606
Martin Klizan,40-40,.56363636
Martin Klizan,40-50,.65833336
Martin Klizan,50-40,.63870966
Victor Hanescu,0-0,.69999999
Victor Hanescu,0-15,.66666669
Victor Hanescu,0-30,.5
Victor Hanescu,0-40,1
Victor Hanescu,15-0,.78571427
Victor Hanescu,15-15,.71428573
Victor Hanescu,15-30,1
Victor Hanescu,15-40,1
Victor Hanescu,30-0,.63636363
Victor Hanescu,30-15,.66666669
Victor Hanescu,30-30,.83333331
Victor Hanescu,30-40,.5
Victor Hanescu,40-0,.85714287
Victor Hanescu,40-15,.71428573
Victor Hanescu,40-30,.85714287
Victor Hanescu,40-40,.33333334
Victor Hanescu,40-50,.5
Victor Hanescu,50-40,1
Eric Quigley,0-0,.60000002
Eric Quigley,0-15,1
Eric Quigley,15-0,.83333331
Eric Quigley,15-15,.60000002
Eric Quigley,15-30,.5
Eric Quigley,15-40,1
Eric Quigley,30-0,.80000001
Eric Quigley,30-15,.5
Eric Quigley,30-30,.66666669
Eric Quigley,30-40,0
Eric Quigley,40-0,.25
Eric Quigley,40-15,1
Eric Quigley,40-30,.5
Eric Quigley,40-40,.66666669
Eric Quigley,40-50,1
Eric Quigley,50-40,.5
Grigor Dimitrov,0-0,.69578314
Grigor Dimitrov,0-15,.60891092
Grigor Dimitrov,0-30,.63291138
Grigor Dimitrov,0-40,.65517241
Grigor Dimitrov,15-0,.63636363
Grigor Dimitrov,15-15,.66323024
Grigor Dimitrov,15-30,.60135138
Grigor Dimitrov,15-40,.62820512
Grigor Dimitrov,30-0,.69387758
Grigor Dimitrov,30-15,.6466431
Grigor Dimitrov,30-30,.71957672
Grigor Dimitrov,30-40,.627451
Grigor Dimitrov,40-0,.68137252
Grigor Dimitrov,40-15,.68145162
Grigor Dimitrov,40-30,.64186049
Grigor Dimitrov,40-40,.59774435
Grigor Dimitrov,40-50,.64485979
Grigor Dimitrov,50-40,.64779872
Mohamed Safwat,0-0,.75
Mohamed Safwat,0-15,.5
Mohamed Safwat,0-30,1
Mohamed Safwat,15-0,.5
Mohamed Safwat,15-15,.5
Mohamed Safwat,15-30,.33333334
Mohamed Safwat,15-40,0
Mohamed Safwat,30-0,.66666669
Mohamed Safwat,30-15,.66666669
Mohamed Safwat,30-30,.5
Mohamed Safwat,30-40,0
Mohamed Safwat,40-0,.5
Mohamed Safwat,40-15,0
Mohamed Safwat,40-30,.75
Mohamed Safwat,40-40,.5
Mohamed Safwat,40-50,0
Mohamed Safwat,50-40,0
Dennis Novikov,0-0,.5
Dennis Novikov,0-15,.40000001
Dennis Novikov,0-30,.66666669
Dennis Novikov,0-40,0
Dennis Novikov,15-0,.60000002
Dennis Novikov,15-15,.25
Dennis Novikov,15-30,.80000001
Dennis Novikov,15-40,1
Dennis Novikov,30-0,.33333334
Dennis Novikov,30-15,0
Dennis Novikov,30-30,.71428573
Dennis Novikov,30-40,.33333334
Dennis Novikov,40-0,1
Dennis Novikov,40-30,.40000001
Dennis Novikov,40-40,.75
Dennis Novikov,40-50,1
Dennis Novikov,50-40,.66666669
Markus Eriksson,0-0,.54545456
Markus Eriksson,0-15,1
Markus Eriksson,15-0,.33333334
Markus Eriksson,15-15,.66666669
Markus Eriksson,15-30,1
Markus Eriksson,30-0,.5
Markus Eriksson,30-15,.85714287
Markus Eriksson,30-30,.5
Markus Eriksson,30-40,.5
Markus Eriksson,40-0,1
Markus Eriksson,40-15,1
Markus Eriksson,40-30,.5
Markus Eriksson,40-40,1
Markus Eriksson,50-40,1
Benoit Paire,0-0,.61507934
Benoit Paire,0-15,.57216495
Benoit Paire,0-30,.62650603
Benoit Paire,0-40,.58064514
Benoit Paire,15-0,.56129032
Benoit Paire,15-15,.63967609
Benoit Paire,15-30,.56028366
Benoit Paire,15-40,.60000002
Benoit Paire,30-0,.62643677
Benoit Paire,30-15,.57399106
Benoit Paire,30-30,.60919541
Benoit Paire,30-40,.59482759
Benoit Paire,40-0,.65137613
Benoit Paire,40-15,.67469877
Benoit Paire,40-30,.57499999
Benoit Paire,40-40,.60077518
Benoit Paire,40-50,.64077669
Benoit Paire,50-40,.64516127
N. Vijay Sundar Prashanth,0-0,.25
N. Vijay Sundar Prashanth,0-15,.33333334
N. Vijay Sundar Prashanth,0-30,1
N. Vijay Sundar Prashanth,15-0,.5
N. Vijay Sundar Prashanth,15-15,.66666669
N. Vijay Sundar Prashanth,15-30,.60000002
N. Vijay Sundar Prashanth,15-40,.5
N. Vijay Sundar Prashanth,30-0,1
N. Vijay Sundar Prashanth,30-15,0
N. Vijay Sundar Prashanth,30-30,.60000002
N. Vijay Sundar Prashanth,30-40,1
N. Vijay Sundar Prashanth,40-0,1
N. Vijay Sundar Prashanth,40-30,.66666669
N. Vijay Sundar Prashanth,40-40,0
N. Vijay Sundar Prashanth,40-50,.2
Marius Copil,0-0,.66887414
Marius Copil,0-15,.63999999
Marius Copil,0-30,.6111111
Marius Copil,0-40,.42857143
Marius Copil,15-0,.6732673
Marius Copil,15-15,.66153848
Marius Copil,15-30,.87878788
Marius Copil,15-40,.71428573
Marius Copil,30-0,.72058821
Marius Copil,30-15,.66129035
Marius Copil,30-30,.63999999
Marius Copil,30-40,.60869563
Marius Copil,40-0,.67346936
Marius Copil,40-15,.75438595
Marius Copil,40-30,.65217394
Marius Copil,40-40,.69999999
Marius Copil,40-50,.6111111
Marius Copil,50-40,.54761904
Mikael Ymer,0-0,.64705884
Mikael Ymer,0-15,.5
Mikael Ymer,0-30,.33333334
Mikael Ymer,0-40,.5
Mikael Ymer,15-0,.63636363
Mikael Ymer,15-15,.5714286
Mikael Ymer,15-30,.5
Mikael Ymer,15-40,.33333334
Mikael Ymer,30-0,.71428573
Mikael Ymer,30-15,.66666669
Mikael Ymer,30-30,1
Mikael Ymer,30-40,1
Mikael Ymer,40-0,1
Mikael Ymer,40-15,1
Mikael Ymer,40-30,.75
Mikael Ymer,40-40,.5
Mikael Ymer,40-50,0
Mikael Ymer,50-40,1
Rogerio Dutra Silva,0-0,.47619048
Rogerio Dutra Silva,0-15,.54545456
Rogerio Dutra Silva,0-30,.40000001
Rogerio Dutra Silva,0-40,.66666669
Rogerio Dutra Silva,15-0,.60000002
Rogerio Dutra Silva,15-15,.60000002
Rogerio Dutra Silva,15-30,.33333334
Rogerio Dutra Silva,15-40,.5
Rogerio Dutra Silva,30-0,.83333331
Rogerio Dutra Silva,30-15,.5714286
Rogerio Dutra Silva,30-30,.60000002
Rogerio Dutra Silva,30-40,.2
Rogerio Dutra Silva,40-0,.60000002
Rogerio Dutra Silva,40-15,.66666669
Rogerio Dutra Silva,40-30,.2
Rogerio Dutra Silva,40-40,.5625
Rogerio Dutra Silva,40-50,.85714287
Rogerio Dutra Silva,50-40,.44444445
Philip Bester,0-0,.5
Philip Bester,0-15,.75
Philip Bester,0-30,1
Philip Bester,15-0,.75
Philip Bester,15-15,.75
Philip Bester,15-30,.5
Philip Bester,15-40,0
Philip Bester,30-0,0
Philip Bester,30-15,.66666669
Philip Bester,30-30,.33333334
Philip Bester,30-40,.5
Philip Bester,40-15,1
Philip Bester,40-30,1
Philip Bester,40-40,0
Philip Bester,40-50,.5
Ricardas Berankis,0-0,.63957596
Ricardas Berankis,0-15,.66666669
Ricardas Berankis,0-30,.7352941
Ricardas Berankis,0-40,.66666669
Ricardas Berankis,15-0,.62430942
Ricardas Berankis,15-15,.61764705
Ricardas Berankis,15-30,.61038959
Ricardas Berankis,15-40,.69444442
Ricardas Berankis,30-0,.69911504
Ricardas Berankis,30-15,.65254235
Ricardas Berankis,30-30,.53409094
Ricardas Berankis,30-40,.65151513
Ricardas Berankis,40-0,.70886075
Ricardas Berankis,40-15,.66000003
Ricardas Berankis,40-30,.55555558
Ricardas Berankis,40-40,.65972221
Ricardas Berankis,40-50,.65306121
Ricardas Berankis,50-40,.65263158
Somdev Devvarman,0-0,.59090906
Somdev Devvarman,0-15,.66666669
Somdev Devvarman,0-30,0
Somdev Devvarman,0-40,.66666669
Somdev Devvarman,15-0,.53846157
Somdev Devvarman,15-15,.25
Somdev Devvarman,15-30,.55555558
Somdev Devvarman,15-40,.5
Somdev Devvarman,30-0,.85714287
Somdev Devvarman,30-15,.5
Somdev Devvarman,30-30,.5714286
Somdev Devvarman,30-40,.83333331
Somdev Devvarman,40-0,.83333331
Somdev Devvarman,40-15,.66666669
Somdev Devvarman,40-30,.40000001
Somdev Devvarman,40-40,.73333335
Somdev Devvarman,40-50,.5
Somdev Devvarman,50-40,.54545456
Alexander Sarkissian,0-0,.70833331
Alexander Sarkissian,0-15,1
Alexander Sarkissian,15-0,.64705884
Alexander Sarkissian,15-15,.84615386
Alexander Sarkissian,15-30,1
Alexander Sarkissian,30-0,.90909094
Alexander Sarkissian,30-15,1
Alexander Sarkissian,30-30,1
Alexander Sarkissian,40-0,.60000002
Alexander Sarkissian,40-15,.5625
Alexander Sarkissian,40-30,.8888889
Alexander Sarkissian,40-40,1
Alexander Sarkissian,50-40,1
Tatsumo Ito,0-0,.72727275
Tatsumo Ito,0-15,.66666669
Tatsumo Ito,0-30,1
Tatsumo Ito,15-0,.6875
Tatsumo Ito,15-15,.77777779
Tatsumo Ito,15-30,.5
Tatsumo Ito,15-40,1
Tatsumo Ito,30-0,.63636363
Tatsumo Ito,30-15,.72727275
Tatsumo Ito,30-30,.60000002
Tatsumo Ito,30-40,.75
Tatsumo Ito,40-0,.71428573
Tatsumo Ito,40-15,.60000002
Tatsumo Ito,40-30,.5714286
Tatsumo Ito,40-40,.53846157
Tatsumo Ito,40-50,.66666669
Tatsumo Ito,50-40,.5714286
Julien Benneteau,0-0,.62711865
Julien Benneteau,0-15,.5
Julien Benneteau,0-30,.63636363
Julien Benneteau,0-40,.5
Julien Benneteau,15-0,.64864862
Julien Benneteau,15-15,.875
Julien Benneteau,15-30,.5
Julien Benneteau,15-40,.5714286
Julien Benneteau,30-0,.58333331
Julien Benneteau,30-15,.61290324
Julien Benneteau,30-30,.58823532
Julien Benneteau,30-40,.27272728
Julien Benneteau,40-0,.71428573
Julien Benneteau,40-15,.60869563
Julien Benneteau,40-30,.68421054
Julien Benneteau,40-40,.66666669
Julien Benneteau,40-50,.5
Julien Benneteau,50-40,.875
Thomaz Bellucci,0-0,.64999998
Thomaz Bellucci,0-15,.6134454
Thomaz Bellucci,0-30,.61956519
Thomaz Bellucci,0-40,.60000002
Thomaz Bellucci,15-0,.65158373
Thomaz Bellucci,15-15,.62666667
Thomaz Bellucci,15-30,.66863906
Thomaz Bellucci,15-40,.67532468
Thomaz Bellucci,30-0,.66666669
Thomaz Bellucci,30-15,.63732392
Thomaz Bellucci,30-30,.64814812
Thomaz Bellucci,30-40,.65625
Thomaz Bellucci,40-0,.640625
Thomaz Bellucci,40-15,.66399997
Thomaz Bellucci,40-30,.6339286
Thomaz Bellucci,40-40,.58749998
Thomaz Bellucci,40-50,.60606062
Thomaz Bellucci,50-40,.60638297
Edouard Roger-Vasselin,0-0,.66055048
Edouard Roger-Vasselin,0-15,.51351351
Edouard Roger-Vasselin,0-30,.6111111
Edouard Roger-Vasselin,0-40,.71428573
Edouard Roger-Vasselin,15-0,.63194442
Edouard Roger-Vasselin,15-15,.6813187
Edouard Roger-Vasselin,15-30,.58823532
Edouard Roger-Vasselin,15-40,.64516127
Edouard Roger-Vasselin,30-0,.65934068
Edouard Roger-Vasselin,30-15,.66666669
Edouard Roger-Vasselin,30-30,.62295079
Edouard Roger-Vasselin,30-40,.46511629
Edouard Roger-Vasselin,40-0,.83333331
Edouard Roger-Vasselin,40-15,.75
Edouard Roger-Vasselin,40-30,.58928573
Edouard Roger-Vasselin,40-40,.60714287
Edouard Roger-Vasselin,40-50,.57575756
Edouard Roger-Vasselin,50-40,.56862748
Nicolas Mahut,0-0,.65090907
Nicolas Mahut,0-15,.65625
Nicolas Mahut,0-30,.69696969
Nicolas Mahut,0-40,.30000001
Nicolas Mahut,15-0,.63687152
Nicolas Mahut,15-15,.640625
Nicolas Mahut,15-30,.53623188
Nicolas Mahut,15-40,.6857143
Nicolas Mahut,30-0,.61403507
Nicolas Mahut,30-15,.6825397
Nicolas Mahut,30-30,.6883117
Nicolas Mahut,30-40,.625
Nicolas Mahut,40-0,.58571428
Nicolas Mahut,40-15,.65217394
Nicolas Mahut,40-30,.56989247
Nicolas Mahut,40-40,.64566928
Nicolas Mahut,40-50,.64444447
Nicolas Mahut,50-40,.65853661
Federico Delbonis,0-0,.60422164
Federico Delbonis,0-15,.5933333
Federico Delbonis,0-30,.60655737
Federico Delbonis,0-40,.58333331
Federico Delbonis,15-0,.65065503
Federico Delbonis,15-15,.62130177
Federico Delbonis,15-30,.65346533
Federico Delbonis,15-40,.59183675
Federico Delbonis,30-0,.58389264
Federico Delbonis,30-15,.65269458
Federico Delbonis,30-30,.56451613
Federico Delbonis,30-40,.59036142
Federico Delbonis,40-0,.71264368
Federico Delbonis,40-15,.66417909
Federico Delbonis,40-30,.62608695
Federico Delbonis,40-40,.58024693
Federico Delbonis,40-50,.55882353
Federico Delbonis,50-40,.65957445
Alejandro Gonzalez,0-0,.65354329
Alejandro Gonzalez,0-15,.65909094
Alejandro Gonzalez,0-30,.60000002
Alejandro Gonzalez,0-40,.66666669
Alejandro Gonzalez,15-0,.53012049
Alejandro Gonzalez,15-15,.54411763
Alejandro Gonzalez,15-30,.52499998
Alejandro Gonzalez,15-40,.56521738
Alejandro Gonzalez,30-0,.68181819
Alejandro Gonzalez,30-15,.64705884
Alejandro Gonzalez,30-30,.56410259
Alejandro Gonzalez,30-40,.43333334
Alejandro Gonzalez,40-0,.5
Alejandro Gonzalez,40-15,.625
Alejandro Gonzalez,40-30,.52499998
Alejandro Gonzalez,40-40,.59649122
Alejandro Gonzalez,40-50,.52173913
Alejandro Gonzalez,50-40,.61764705
Marcos Baghdatis,0-0,.61895162
Marcos Baghdatis,0-15,.60317463
Marcos Baghdatis,0-30,.61333334
Marcos Baghdatis,0-40,.62068963
Marcos Baghdatis,15-0,.64820844
Marcos Baghdatis,15-15,.62162161
Marcos Baghdatis,15-30,.59230769
Marcos Baghdatis,15-40,.5633803
Marcos Baghdatis,30-0,.74371856
Marcos Baghdatis,30-15,.63492066
Marcos Baghdatis,30-30,.71917808
Marcos Baghdatis,30-40,.62962961
Marcos Baghdatis,40-0,.6554054
Marcos Baghdatis,40-15,.64912283
Marcos Baghdatis,40-30,.61212122
Marcos Baghdatis,40-40,.65065503
Marcos Baghdatis,40-50,.61250001
Marcos Baghdatis,50-40,.56375837
Nick Krygios,0-0,.5625
Nick Krygios,0-15,.42857143
Nick Krygios,0-30,.75
Nick Krygios,0-40,1
Nick Krygios,15-0,.77777779
Nick Krygios,15-15,.80000001
Nick Krygios,15-30,.75
Nick Krygios,15-40,.5
Nick Krygios,30-0,.42857143
Nick Krygios,30-15,.625
Nick Krygios,30-30,.5
Nick Krygios,30-40,.75
Nick Krygios,40-0,1
Nick Krygios,40-15,.40000001
Nick Krygios,40-30,.5
Nick Krygios,40-40,1
Nick Krygios,50-40,1
Dennis Novak,0-0,.51612902
Dennis Novak,0-15,.46666667
Dennis Novak,0-30,.375
Dennis Novak,0-40,.60000002
Dennis Novak,15-0,.6875
Dennis Novak,15-15,.5
Dennis Novak,15-30,.44444445
Dennis Novak,15-40,.5
Dennis Novak,30-0,.63636363
Dennis Novak,30-15,.40000001
Dennis Novak,30-30,.5
Dennis Novak,30-40,.44444445
Dennis Novak,40-0,.71428573
Dennis Novak,40-15,.66666669
Dennis Novak,40-30,.71428573
Dennis Novak,40-40,.54166669
Dennis Novak,40-50,.63636363
Dennis Novak,50-40,.15384616
Ryan Haviland,0-0,.66666669
Ryan Haviland,0-15,.2
Ryan Haviland,0-30,.75
Ryan Haviland,0-40,1
Ryan Haviland,15-0,.40000001
Ryan Haviland,15-15,.5714286
Ryan Haviland,15-30,.33333334
Ryan Haviland,15-40,.80000001
Ryan Haviland,30-0,.5
Ryan Haviland,30-15,.66666669
Ryan Haviland,30-30,.75
Ryan Haviland,30-40,.60000002
Ryan Haviland,40-0,0
Ryan Haviland,40-15,1
Ryan Haviland,40-30,.66666669
Ryan Haviland,40-40,.33333334
Ryan Haviland,40-50,.5
Ryan Haviland,50-40,1
Kenny de Schepper,0-0,.63565892
Kenny de Schepper,0-15,.57446808
Kenny de Schepper,0-30,.55000001
Kenny de Schepper,0-40,.33333334
Kenny de Schepper,15-0,.60975611
Kenny de Schepper,15-15,.52542371
Kenny de Schepper,15-30,.61538464
Kenny de Schepper,15-40,.66666669
Kenny de Schepper,30-0,.68000001
Kenny de Schepper,30-15,.76595747
Kenny de Schepper,30-30,.80000001
Kenny de Schepper,30-40,.42105263
Kenny de Schepper,40-0,.70588237
Kenny de Schepper,40-15,.56521738
Kenny de Schepper,40-30,.72916669
Kenny de Schepper,40-40,.625
Kenny de Schepper,40-50,.58333331
Kenny de Schepper,50-40,.80000001
David Vega Hernandez,0-0,.14285715
David Vega Hernandez,0-15,.83333331
David Vega Hernandez,0-30,1
David Vega Hernandez,15-0,1
David Vega Hernandez,15-15,.40000001
David Vega Hernandez,15-30,.75
David Vega Hernandez,15-40,0
David Vega Hernandez,30-0,0
David Vega Hernandez,30-15,.33333334
David Vega Hernandez,30-30,.2
David Vega Hernandez,30-40,.5
David Vega Hernandez,40-15,1
David Vega Hernandez,40-30,1
David Vega Hernandez,40-40,.60000002
David Vega Hernandez,40-50,.5
David Vega Hernandez,50-40,.33333334
Robin Haase,0-0,.62669683
Robin Haase,0-15,.59393942
Robin Haase,0-30,.53731346
Robin Haase,0-40,.54838711
Robin Haase,15-0,.62454873
Robin Haase,15-15,.66336632
Robin Haase,15-30,.64423078
Robin Haase,15-40,.55555558
Robin Haase,30-0,.62427747
Robin Haase,30-15,.6130653
Robin Haase,30-30,.65277779
Robin Haase,30-40,.57499999
Robin Haase,40-0,.56481481
Robin Haase,40-15,.66272187
Robin Haase,40-30,.60927153
Robin Haase,40-40,.67058825
Robin Haase,40-50,.4642857
Robin Haase,50-40,.65789473
Gilles Simon,0-0,.63896459
Gilles Simon,0-15,.6301887
Gilles Simon,0-30,.62244898
Gilles Simon,0-40,.62162161
Gilles Simon,15-0,.5970149
Gilles Simon,15-15,.64044946
Gilles Simon,15-30,.59788358
Gilles Simon,15-40,.53535354
Gilles Simon,30-0,.61785716
Gilles Simon,30-15,.60298508
Gilles Simon,30-30,.69918698
Gilles Simon,30-40,.53543305
Gilles Simon,40-0,.66473991
Gilles Simon,40-15,.68461537
Gilles Simon,40-30,.56692916
Gilles Simon,40-40,.60371518
Gilles Simon,40-50,.546875
Gilles Simon,50-40,.61538464
Aslan Karatsev,0-0,.36000001
Aslan Karatsev,0-15,.4375
Aslan Karatsev,0-30,.55555558
Aslan Karatsev,0-40,.5
Aslan Karatsev,15-0,.44444445
Aslan Karatsev,15-15,.5
Aslan Karatsev,15-30,.81818181
Aslan Karatsev,15-40,.75
Aslan Karatsev,30-0,.5
Aslan Karatsev,30-15,.625
Aslan Karatsev,30-30,.66666669
Aslan Karatsev,30-40,.42857143
Aslan Karatsev,40-0,1
Aslan Karatsev,40-15,.80000001
Aslan Karatsev,40-30,.66666669
Aslan Karatsev,40-40,.66666669
Aslan Karatsev,40-50,.66666669
Aslan Karatsev,50-40,.83333331
Niels Desein,0-0,.38461539
Niels Desein,0-15,.75
Niels Desein,0-30,1
Niels Desein,15-0,1
Niels Desein,15-15,.5
Niels Desein,15-30,.40000001
Niels Desein,15-40,.66666669
Niels Desein,30-0,.80000001
Niels Desein,30-15,.75
Niels Desein,30-30,1
Niels Desein,30-40,1
Niels Desein,40-0,.75
Niels Desein,40-15,.75
Niels Desein,40-30,.25
Niels Desein,40-40,.71428573
Niels Desein,40-50,0
Niels Desein,50-40,.60000002
Jan-Lennard Struff,0-0,.63344049
Jan-Lennard Struff,0-15,.57017541
Jan-Lennard Struff,0-30,.63265306
Jan-Lennard Struff,0-40,.66666669
Jan-Lennard Struff,15-0,.65989846
Jan-Lennard Struff,15-15,.57575756
Jan-Lennard Struff,15-30,.63218391
Jan-Lennard Struff,15-40,.52272725
Jan-Lennard Struff,30-0,.6076923
Jan-Lennard Struff,30-15,.59842521
Jan-Lennard Struff,30-30,.64150941
Jan-Lennard Struff,30-40,.55737704
Jan-Lennard Struff,40-0,.65822786
Jan-Lennard Struff,40-15,.68932039
Jan-Lennard Struff,40-30,.60000002
Jan-Lennard Struff,40-40,.71774191
Jan-Lennard Struff,40-50,.62857145
Jan-Lennard Struff,50-40,.68539327
Alejandro Gomez,0-0,.42307693
Alejandro Gomez,0-15,.46666667
Alejandro Gomez,0-30,.625
Alejandro Gomez,0-40,.66666669
Alejandro Gomez,15-0,.54545456
Alejandro Gomez,15-15,.5
Alejandro Gomez,15-30,.45454547
Alejandro Gomez,15-40,.875
Alejandro Gomez,30-0,.83333331
Alejandro Gomez,30-15,.5714286
Alejandro Gomez,30-30,.375
Alejandro Gomez,30-40,.41666666
Alejandro Gomez,40-0,.80000001
Alejandro Gomez,40-15,.60000002
Alejandro Gomez,40-30,.40000001
Alejandro Gomez,40-40,.69999999
Alejandro Gomez,40-50,.83333331
Alejandro Gomez,50-40,.5
Kimmer Coppejans,0-0,.62857145
Kimmer Coppejans,0-15,.46153846
Kimmer Coppejans,0-30,.71428573
Kimmer Coppejans,0-40,1
Kimmer Coppejans,15-0,.54545456
Kimmer Coppejans,15-15,.625
Kimmer Coppejans,15-30,.63636363
Kimmer Coppejans,15-40,.66666669
Kimmer Coppejans,30-0,.91666669
Kimmer Coppejans,30-15,.72727275
Kimmer Coppejans,30-30,.5
Kimmer Coppejans,30-40,.55555558
Kimmer Coppejans,40-0,.63636363
Kimmer Coppejans,40-15,.66666669
Kimmer Coppejans,40-30,.44444445
Kimmer Coppejans,40-40,.55000001
Kimmer Coppejans,40-50,.55555558
Kimmer Coppejans,50-40,.54545456
Jiri Vesely,0-0,.64510781
Jiri Vesely,0-15,.61682242
Jiri Vesely,0-30,.63414633
Jiri Vesely,0-40,.69999999
Jiri Vesely,15-0,.73521852
Jiri Vesely,15-15,.70212764
Jiri Vesely,15-30,.73770493
Jiri Vesely,15-40,.71698111
Jiri Vesely,30-0,.68881118
Jiri Vesely,30-15,.68503934
Jiri Vesely,30-30,.63529414
Jiri Vesely,30-40,.62
Jiri Vesely,40-0,.71065992
Jiri Vesely,40-15,.6796537
Jiri Vesely,40-30,.65384614
Jiri Vesely,40-40,.60483873
Jiri Vesely,40-50,.67346936
Jiri Vesely,50-40,.62
Roberto Bautista Agut,0-0,.6813187
Roberto Bautista Agut,0-15,.7241379
Roberto Bautista Agut,0-30,1
Roberto Bautista Agut,15-0,.69354838
Roberto Bautista Agut,15-15,.60000002
Roberto Bautista Agut,15-30,.58333331
Roberto Bautista Agut,15-40,.5
Roberto Bautista Agut,30-0,.74418604
Roberto Bautista Agut,30-15,.62857145
Roberto Bautista Agut,30-30,.4074074
Roberto Bautista Agut,30-40,.52380955
Roberto Bautista Agut,40-0,.5
