returnername,gamescore,returnPointProbability_top20,opponentScore,playerscore
David Ferrer,30-40,.45588234,2,3
David Ferrer,40-0,.44444445,3,0
David Ferrer,40-15,.2783505,3,1
David Ferrer,40-30,.36363637,3,2
David Ferrer,40-40,.42666668,3,3
David Ferrer,40-50,.3125,3,4
David Ferrer,50-40,.43023255,4,3
David Goffin,0-0,.34705883,0,0
David Goffin,0-15,.30508474,0,1
David Goffin,0-30,.16666667,0,2
David Goffin,0-40,.33333334,0,3
David Goffin,15-0,.37837839,1,0
David Goffin,15-15,.33734939,1,1
David Goffin,15-30,.46511629,1,2
David Goffin,15-40,.36363637,1,3
David Goffin,30-0,.23188406,2,0
David Goffin,30-15,.45070422,2,1
David Goffin,30-30,.29090908,2,2
David Goffin,30-40,.30000001,2,3
David Goffin,40-0,.39622641,3,0
David Goffin,40-15,.41666666,3,1
David Goffin,40-30,.25,3,2
David Goffin,40-40,.26666668,3,3
David Goffin,40-50,.4375,3,4
David Goffin,50-40,.31818181,4,3
Denis Istomin,0-0,.34482759,0,0
Denis Istomin,0-15,.25,0,1
Denis Istomin,0-30,.40000001,0,2
Denis Istomin,0-40,.5,0,3
Denis Istomin,15-0,.47368422,1,0
Denis Istomin,15-15,.21212122,1,1
Denis Istomin,15-30,.2,1,2
Denis Istomin,15-40,.66666669,1,3
Denis Istomin,30-0,.34999999,2,0
Denis Istomin,30-15,.15151516,2,1
Denis Istomin,30-30,.30769232,2,2
Denis Istomin,30-40,.2,2,3
Denis Istomin,40-0,.23076923,3,0
Denis Istomin,40-15,.22580644,3,1
Denis Istomin,40-30,.3125,3,2
Denis Istomin,40-40,.16666667,3,3
Denis Istomin,40-50,0,3,4
Denis Istomin,50-40,.40000001,4,3
Denis Kudla,0-0,.25,0,0
Denis Kudla,0-15,.33333334,0,1
Denis Kudla,0-30,.33333334,0,2
Denis Kudla,0-40,1,0,3
Denis Kudla,15-0,.4074074,1,0
Denis Kudla,15-15,.23529412,1,1
Denis Kudla,15-30,.33333334,1,2
Denis Kudla,15-40,0,1,3
Denis Kudla,30-0,.3125,2,0
Denis Kudla,30-15,.16666667,2,1
Denis Kudla,30-30,.5714286,2,2
Denis Kudla,30-40,0,2,3
Denis Kudla,40-0,.27272728,3,0
Denis Kudla,40-15,.11111111,3,1
Denis Kudla,40-30,.40000001,3,2
Denis Kudla,40-40,.30000001,3,3
Denis Kudla,40-50,.66666669,3,4
Denis Kudla,50-40,.14285715,4,3
Di Wu,0-0,.34615386,0,0
