yearmonth,serverid,servername,gamescore,year,topn,rankGroupsReturner,rankGroupsServer,ones,serverProbability,serverFrequency
201510,9,Lucas Miedler,0-30,2015,100,6,9999,1,.33333334,3
201510,9,Lucas Miedler,0-40,2015,100,6,9999,1,.5,2
201510,9,Lucas Miedler,15-0,2015,100,6,9999,1,.625,8
201510,9,Lucas Miedler,15-15,2015,100,6,9999,1,.60000002,5
201510,9,Lucas Miedler,15-30,2015,100,6,9999,1,.66666669,3
201510,9,Lucas Miedler,15-40,2015,100,6,9999,1,.5,2
201510,9,Lucas Miedler,30-0,2015,100,6,9999,1,.80000001,5
201510,9,Lucas Miedler,30-15,2015,100,6,9999,1,.5,4
201510,9,Lucas Miedler,30-30,2015,100,6,9999,1,.5,4
201510,9,Lucas Miedler,30-40,2015,100,6,9999,1,.66666669,3
201510,9,Lucas Miedler,40-0,2015,100,6,9999,1,.75,4
201510,9,Lucas Miedler,40-15,2015,100,6,9999,1,.33333334,3
201510,9,Lucas Miedler,40-30,2015,100,6,9999,1,.5,4
201510,9,Lucas Miedler,40-40,2015,100,6,9999,1,.75,4
201510,9,Lucas Miedler,40-50,2015,100,6,9999,1,1,1
201510,9,Lucas Miedler,50-40,2015,100,6,9999,1,.5,4
201207,10,Jan Hajek,0-0,2012,100,3,6,1,.49462366,93
201301,10,Jan Hajek,0-0,2013,100,2,11,1,.60740739,135
201207,10,Jan Hajek,0-15,2012,100,1,6,1,.5106383,47
201307,10,Jan Hajek,0-15,2013,100,4,11,1,.50943398,53
201210,10,Jan Hajek,0-30,2012,100,6,11,1,.39130434,23
201302,10,Jan Hajek,0-30,2013,100,6,6,1,.46153846,26
201208,10,Jan Hajek,0-40,2012,100,6,6,1,.42857143,14
201307,10,Jan Hajek,0-40,2013,100,3,11,1,.5,14
201210,10,Jan Hajek,15-0,2012,100,3,11,1,.69565219,46
201305,10,Jan Hajek,15-0,2013,100,6,11,1,.53658539,82
201208,10,Jan Hajek,15-15,2012,100,6,6,1,.63157892,38
201307,10,Jan Hajek,15-15,2013,100,4,11,1,.46153846,65
201207,10,Jan Hajek,15-30,2012,100,1,6,1,.65217394,23
201307,10,Jan Hajek,15-30,2013,100,1,11,1,.55319148,47
