servername,gamescore,servePointProbability_top20,servePointFreq_top20,playerScore,opponentScore
Andrey Golubev,30-40,.5,2,2,3
Andrey Golubev,40-0,0,1,3,0
Andrey Golubev,40-15,1,4,3,1
Andrey Golubev,40-30,1,1,3,2
Andrey Golubev,40-40,0,1,3,3
Andrey Golubev,40-50,0,1,3,4
Andrey Kuznetsov,0-0,.57971013,69,0,0
Andrey Kuznetsov,0-15,.58620691,29,0,1
Andrey Kuznetsov,0-30,.58333331,12,0,2
Andrey Kuznetsov,0-40,.2,5,0,3
Andrey Kuznetsov,100-100,1,1,7,7
Andrey Kuznetsov,101-102,1,1,7,7
Andrey Kuznetsov,102-102,1,1,7,7
Andrey Kuznetsov,104-103,1,1,7,7
Andrey Kuznetsov,105-103,0,1,7,7
Andrey Kuznetsov,106-105,1,1,8,7
Andrey Kuznetsov,15-0,.625,40,1,0
Andrey Kuznetsov,15-15,.53125,32,1,1
Andrey Kuznetsov,15-30,.45454547,22,1,2
Andrey Kuznetsov,15-40,.46153846,13,1,3
Andrey Kuznetsov,30-0,.68000001,25,2,0
Andrey Kuznetsov,30-15,.63999999,25,2,1
Andrey Kuznetsov,30-30,.47368422,19,2,2
Andrey Kuznetsov,30-40,.625,16,2,3
Andrey Kuznetsov,40-0,1,17,3,0
Andrey Kuznetsov,40-15,.5625,16,3,1
Andrey Kuznetsov,40-30,.5625,16,3,2
Andrey Kuznetsov,40-40,.5,32,3,3
Andrey Kuznetsov,40-50,.5625,16,3,4
Andrey Kuznetsov,50-40,.625,16,4,3
Andrey Rublev,0-0,.67924529,53,0,0
Andrey Rublev,0-15,.70588237,17,0,1
Andrey Rublev,0-30,.80000001,5,0,2
Andrey Rublev,0-40,0,1,0,3
Andrey Rublev,100-101,.5,2,7,7
Andrey Rublev,100-102,1,1,7,7
Andrey Rublev,101-100,0,1,7,7
Andrey Rublev,101-101,1,2,7,7
Andrey Rublev,101-104,0,1,7,7
Andrey Rublev,101-105,0,1,7,7
Andrey Rublev,103-102,.5,2,7,7
Andrey Rublev,103-103,0,1,7,7
Andrey Rublev,104-102,1,1,7,7
Andrey Rublev,104-105,1,1,7,7
