"","Topn","Gamescore","Breaks","Frequency"
"656",75,"15-40",0.175,0
"657",75,"15-40",0.2,0
"658",75,"15-40",0.225,0
"659",75,"15-40",0.25,6
"660",75,"15-40",0.275,5
"661",75,"15-40",0.3,10
"662",75,"15-40",0.325,17
"663",75,"15-40",0.35,19
"664",75,"15-40",0.375,21
"665",75,"15-40",0.4,25
"666",75,"15-40",0.425,14
"667",75,"15-40",0.45,8
"668",75,"15-40",0.475,4
"669",75,"15-40",0.5,1
"670",75,"15-40",0.525,1
"671",75,"15-40",0.55,0
"672",75,"15-40",0.575,0
"673",75,"15-40",0.6,0
"674",75,"15-40",0.625,0
"675",75,"15-40",0.65,0
"676",75,"15-40",0.675,0
"677",75,"30-0",0.05,0
"678",75,"30-0",0.075,0
"679",75,"30-0",0.1,0
"680",75,"30-0",0.125,0
"681",75,"30-0",0.15,0
"682",75,"30-0",0.175,1
"683",75,"30-0",0.2,6
"684",75,"30-0",0.225,6
"685",75,"30-0",0.25,6
"686",75,"30-0",0.275,28
"687",75,"30-0",0.3,48
"688",75,"30-0",0.325,46
"689",75,"30-0",0.35,29
"690",75,"30-0",0.375,17
"691",75,"30-0",0.4,8
"692",75,"30-0",0.425,2
"693",75,"30-0",0.45,0
"694",75,"30-0",0.475,2
"695",75,"30-0",0.5,0
"696",75,"30-0",0.525,0
"697",75,"30-0",0.55,0
"698",75,"30-0",0.575,0
"699",75,"30-0",0.6,0
"700",75,"30-0",0.625,0
"701",75,"30-0",0.65,0
"702",75,"30-0",0.675,0
"703",75,"30-15",0.05,0
"704",75,"30-15",0.075,0
"705",75,"30-15",0.1,0
"706",75,"30-15",0.125,0
"707",75,"30-15",0.15,0
"708",75,"30-15",0.175,0
"709",75,"30-15",0.2,0
"710",75,"30-15",0.225,1
"711",75,"30-15",0.25,6
"712",75,"30-15",0.275,11
"713",75,"30-15",0.3,23
"714",75,"30-15",0.325,40
"715",75,"30-15",0.35,52
"716",75,"30-15",0.375,35
"717",75,"30-15",0.4,16
"718",75,"30-15",0.425,6
"719",75,"30-15",0.45,3
"720",75,"30-15",0.475,3
"721",75,"30-15",0.5,1
"722",75,"30-15",0.525,1
"723",75,"30-15",0.55,0
"724",75,"30-15",0.575,0
"725",75,"30-15",0.6,0
"726",75,"30-15",0.625,0
"727",75,"30-15",0.65,0
"728",75,"30-15",0.675,0
"729",75,"30-30",0.05,0
"730",75,"30-30",0.075,0
"731",75,"30-30",0.1,0
"732",75,"30-30",0.125,0
"733",75,"30-30",0.15,0
"734",75,"30-30",0.175,2
"735",75,"30-30",0.2,2
"736",75,"30-30",0.225,0
"737",75,"30-30",0.25,4
"738",75,"30-30",0.275,9
"739",75,"30-30",0.3,16
"740",75,"30-30",0.325,37
"741",75,"30-30",0.35,40
"742",75,"30-30",0.375,42
"743",75,"30-30",0.4,13
"744",75,"30-30",0.425,8
"745",75,"30-30",0.45,4
"746",75,"30-30",0.475,0
"747",75,"30-30",0.5,1
"748",75,"30-30",0.525,1
"749",75,"30-30",0.55,1
"750",75,"30-30",0.575,0
"751",75,"30-30",0.6,1
"752",75,"30-30",0.625,0
"753",75,"30-30",0.65,0
"754",75,"30-30",0.675,0
"755",75,"30-40",0.05,0
"756",75,"30-40",0.075,0
"757",75,"30-40",0.1,0
"758",75,"30-40",0.125,0
"759",75,"30-40",0.15,0
"760",75,"30-40",0.175,0
"761",75,"30-40",0.2,2
"762",75,"30-40",0.225,2
"763",75,"30-40",0.25,3
"764",75,"30-40",0.275,4
"765",75,"30-40",0.3,13
"766",75,"30-40",0.325,21
"767",75,"30-40",0.35,25
"768",75,"30-40",0.375,26
"769",75,"30-40",0.4,32
"770",75,"30-40",0.425,16
"771",75,"30-40",0.45,6
"772",75,"30-40",0.475,3
"773",75,"30-40",0.5,1
"774",75,"30-40",0.525,0
"775",75,"30-40",0.55,0
"776",75,"30-40",0.575,0
"777",75,"30-40",0.6,0
"778",75,"30-40",0.625,0
"779",75,"30-40",0.65,0
"780",75,"30-40",0.675,0
"781",75,"40-0",0.05,0
"782",75,"40-0",0.075,0
"783",75,"40-0",0.1,1
"784",75,"40-0",0.125,0
"785",75,"40-0",0.15,0
"786",75,"40-0",0.175,2
"787",75,"40-0",0.2,5
"788",75,"40-0",0.225,2
"789",75,"40-0",0.25,14
"790",75,"40-0",0.275,28
"791",75,"40-0",0.3,41
"792",75,"40-0",0.325,44
"793",75,"40-0",0.35,17
"794",75,"40-0",0.375,13
"795",75,"40-0",0.4,5
"796",75,"40-0",0.425,1
"797",75,"40-0",0.45,0
"798",75,"40-0",0.475,1
"799",75,"40-0",0.5,0
"800",75,"40-0",0.525,0
"801",75,"40-0",0.55,0
"802",75,"40-0",0.575,0
"803",75,"40-0",0.6,0
"804",75,"40-0",0.625,0
"805",75,"40-0",0.65,0
"806",75,"40-0",0.675,0
"807",75,"40-15",0.05,0
"808",75,"40-15",0.075,0
"809",75,"40-15",0.1,1
"810",75,"40-15",0.125,0
"811",75,"40-15",0.15,0
"812",75,"40-15",0.175,2
"813",75,"40-15",0.2,3
"814",75,"40-15",0.225,3
"815",75,"40-15",0.25,9
"816",75,"40-15",0.275,22
"817",75,"40-15",0.3,39
"818",75,"40-15",0.325,62
"819",75,"40-15",0.35,26
"820",75,"40-15",0.375,13
"821",75,"40-15",0.4,9
"822",75,"40-15",0.425,3
"823",75,"40-15",0.45,1
"824",75,"40-15",0.475,1
"825",75,"40-15",0.5,0
"826",75,"40-15",0.525,0
"827",75,"40-15",0.55,0
"828",75,"40-15",0.575,0
"829",75,"40-15",0.6,0
"830",75,"40-15",0.625,0
"831",75,"40-15",0.65,0
"832",75,"40-15",0.675,0
"833",75,"40-30",0.05,0
"834",75,"40-30",0.075,0
"835",75,"40-30",0.1,0
"836",75,"40-30",0.125,0
"837",75,"40-30",0.15,0
"838",75,"40-30",0.175,0
"839",75,"40-30",0.2,0
"840",75,"40-30",0.225,4
"841",75,"40-30",0.25,2
"842",75,"40-30",0.275,10
"843",75,"40-30",0.3,24
"844",75,"40-30",0.325,34
"845",75,"40-30",0.35,36
"846",75,"40-30",0.375,34
"847",75,"40-30",0.4,16
"848",75,"40-30",0.425,11
"849",75,"40-30",0.45,5
"850",75,"40-30",0.475,2
"851",75,"40-30",0.5,0
"852",75,"40-30",0.525,0
"853",75,"40-30",0.55,0
"854",75,"40-30",0.575,0
"855",75,"40-30",0.6,0
"856",75,"40-30",0.625,0
"857",75,"40-30",0.65,0
"858",75,"40-30",0.675,0
"859",75,"40-40",0.05,0
"860",75,"40-40",0.075,0
"861",75,"40-40",0.1,0
"862",75,"40-40",0.125,0
"863",75,"40-40",0.15,0
"864",75,"40-40",0.175,0
"865",75,"40-40",0.2,0
"866",75,"40-40",0.225,1
"867",75,"40-40",0.25,1
"868",75,"40-40",0.275,8
"869",75,"40-40",0.3,19
