returnername,gamescore,returnPointProbability,returnPointFreq,opponentScore,playerScore
Pablo Carreno-Busta,100-102,0,2,7,7
Pablo Carreno-Busta,100-103,.5,2,7,7
Pablo Carreno-Busta,100-104,0,1,7,7
Pablo Carreno-Busta,101-100,.5,2,7,7
Pablo Carreno-Busta,101-101,0,1,7,7
Pablo Carreno-Busta,101-102,.66666669,6,7,7
Pablo Carreno-Busta,101-103,0,5,7,7
Pablo Carreno-Busta,101-104,1,2,7,7
Pablo Carreno-Busta,101-105,0,2,7,7
Pablo Carreno-Busta,102-100,0,1,7,7
Pablo Carreno-Busta,102-101,.66666669,3,7,7
Pablo Carreno-Busta,102-102,.25,4,7,7
Pablo Carreno-Busta,102-103,0,1,7,7
Pablo Carreno-Busta,102-105,.25,4,7,7
Pablo Carreno-Busta,102-106,1,1,7,8
Pablo Carreno-Busta,103-100,0,1,7,7
Pablo Carreno-Busta,103-101,0,1,7,7
Pablo Carreno-Busta,103-103,0,1,7,7
Pablo Carreno-Busta,103-104,.66666669,3,7,7
Pablo Carreno-Busta,103-105,.60000002,5,7,7
Pablo Carreno-Busta,103-106,1,2,7,8
Pablo Carreno-Busta,104-100,0,1,7,7
Pablo Carreno-Busta,104-101,0,1,7,7
Pablo Carreno-Busta,104-103,.66666669,3,7,7
Pablo Carreno-Busta,104-104,0,3,7,7
Pablo Carreno-Busta,105-101,0,1,7,7
Pablo Carreno-Busta,105-102,0,1,7,7
Pablo Carreno-Busta,105-103,0,1,7,7
Pablo Carreno-Busta,105-104,1,1,7,7
Pablo Carreno-Busta,105-105,0,1,7,7
Pablo Carreno-Busta,105-106,0,1,7,8
Pablo Carreno-Busta,106-101,0,1,8,7
Pablo Carreno-Busta,106-102,1,1,8,7
Pablo Carreno-Busta,106-103,0,1,8,7
Pablo Carreno-Busta,106-105,.33333334,3,8,7
Pablo Carreno-Busta,106-106,.5,2,8,8
Pablo Carreno-Busta,107-106,1,1,8,8
Pablo Carreno-Busta,107-107,0,1,8,8
Pablo Carreno-Busta,108-107,1,1,8,8
Pablo Carreno-Busta,108-108,0,1,8,8
Pablo Carreno-Busta,109-108,0,1,8,8
Pablo Carreno-Busta,15-0,.38721806,266,1,0
Pablo Carreno-Busta,15-15,.35121951,205,1,1
Pablo Carreno-Busta,15-30,.41284403,109,1,2
Pablo Carreno-Busta,15-40,.4642857,56,1,3
Pablo Carreno-Busta,30-0,.41717792,163,2,0
Pablo Carreno-Busta,30-15,.3283582,201,2,1
Pablo Carreno-Busta,30-30,.35384616,130,2,2
Pablo Carreno-Busta,30-40,.28947368,76,2,3
Pablo Carreno-Busta,40-0,.31578946,95,3,0
Pablo Carreno-Busta,40-15,.38181818,165,3,1
Pablo Carreno-Busta,40-30,.3877551,147,3,2
Pablo Carreno-Busta,40-40,.40000001,190,3,3
Pablo Carreno-Busta,40-50,.40789473,76,3,4
Pablo Carreno-Busta,50-40,.29824561,114,4,3
Diego Sebastian Schwartzman,0-0,.39732143,224,0,0
Diego Sebastian Schwartzman,0-15,.39325842,89,0,1
Diego Sebastian Schwartzman,0-30,.37142858,35,0,2
Diego Sebastian Schwartzman,0-40,.61538464,13,0,3
Diego Sebastian Schwartzman,100-100,.25,4,7,7
Diego Sebastian Schwartzman,100-101,.33333334,3,7,7
Diego Sebastian Schwartzman,100-102,0,1,7,7
Diego Sebastian Schwartzman,100-103,1,1,7,7
Diego Sebastian Schwartzman,100-104,1,1,7,7
Diego Sebastian Schwartzman,101-100,0,1,7,7
Diego Sebastian Schwartzman,101-101,.5,2,7,7
Diego Sebastian Schwartzman,101-102,0,1,7,7
