"","Topn","Gamescore","Breaks","Frequency","Density"
"618",75,"15-15",0.725,4,0.792079207920795
"619",75,"15-15",0.75,2,0.396039603960396
"620",75,"15-15",0.775,1,0.198019801980198
"621",75,"15-15",0.8,0,0
"622",75,"15-15",0.825,0,0
"623",75,"15-15",0.85,0,0
"624",75,"15-15",0.875,0,0
"625",75,"15-30",0.25,0,0
"626",75,"15-30",0.275,0,0
"627",75,"15-30",0.3,0,0
"628",75,"15-30",0.325,0,0
"629",75,"15-30",0.35,1,0.233918128654971
"630",75,"15-30",0.375,0,0
"631",75,"15-30",0.4,0,0
"632",75,"15-30",0.425,1,0.233918128654971
"633",75,"15-30",0.45,1,0.233918128654971
"634",75,"15-30",0.475,4,0.935672514619884
"635",75,"15-30",0.5,6,1.40350877192982
"636",75,"15-30",0.525,5,1.16959064327485
"637",75,"15-30",0.55,11,2.57309941520468
"638",75,"15-30",0.575,36,8.42105263157894
"639",75,"15-30",0.6,38,8.88888888888892
"640",75,"15-30",0.625,32,7.48538011695906
"641",75,"15-30",0.65,15,3.50877192982456
"642",75,"15-30",0.675,13,3.04093567251462
"643",75,"15-30",0.7,3,0.701754385964912
"644",75,"15-30",0.725,1,0.233918128654972
"645",75,"15-30",0.75,2,0.467836257309941
"646",75,"15-30",0.775,1,0.233918128654971
"647",75,"15-30",0.8,1,0.233918128654971
"648",75,"15-30",0.825,0,0
"649",75,"15-30",0.85,0,0
"650",75,"15-30",0.875,0,0
"651",75,"15-40",0.25,0,0
"652",75,"15-40",0.275,0,0
"653",75,"15-40",0.3,0,0
"654",75,"15-40",0.325,0,0
"655",75,"15-40",0.35,0,0
"656",75,"15-40",0.375,0,0
