returnerid,returnername,gamescore,topn,ones,returnerProbability,returnerFrequency
44,Riccardo Ghedin,15-15,100,1,.55555558,9
44,Riccardo Ghedin,15-30,100,1,.40000001,5
44,Riccardo Ghedin,15-40,100,1,.33333334,3
44,Riccardo Ghedin,30-0,100,1,.83333331,6
44,Riccardo Ghedin,30-15,100,1,.83333331,6
44,Riccardo Ghedin,30-30,100,1,.33333334,3
44,Riccardo Ghedin,30-40,100,1,1,3
44,Riccardo Ghedin,40-0,100,1,.60000002,5
44,Riccardo Ghedin,40-15,100,1,.71428573,7
44,Riccardo Ghedin,40-30,100,1,.33333334,3
44,Riccardo Ghedin,40-40,100,1,.60000002,5
44,Riccardo Ghedin,40-50,100,1,.66666669,3
44,Riccardo Ghedin,50-40,100,1,.5,4
45,Antonio Veic,0-0,100,1,.64444447,45
45,Antonio Veic,0-15,100,1,.5625,16
45,Antonio Veic,0-30,100,1,.71428573,7
45,Antonio Veic,0-40,100,1,1,2
45,Antonio Veic,15-0,100,1,.55172414,29
45,Antonio Veic,15-15,100,1,.63636363,22
45,Antonio Veic,15-30,100,1,.53846157,13
45,Antonio Veic,15-40,100,1,.5,8
45,Antonio Veic,30-0,100,1,.5625,16
45,Antonio Veic,30-15,100,1,.47619048,21
45,Antonio Veic,30-30,100,1,.66666669,18
45,Antonio Veic,30-40,100,1,.40000001,10
45,Antonio Veic,40-0,100,1,.55555558,9
45,Antonio Veic,40-15,100,1,.71428573,14
45,Antonio Veic,40-30,100,1,.625,16
45,Antonio Veic,40-40,100,1,.69999999,10
45,Antonio Veic,40-50,100,1,.2,5
45,Antonio Veic,50-40,100,1,.5714286,7
47,Thanasi Kokkinakis,0-0,100,1,.66223407,376
47,Thanasi Kokkinakis,0-15,100,1,.64566928,127
47,Thanasi Kokkinakis,0-30,100,1,.5777778,45
47,Thanasi Kokkinakis,0-40,100,1,.52631581,19
47,Thanasi Kokkinakis,15-0,100,1,.67871487,249
47,Thanasi Kokkinakis,15-15,100,1,.68518519,162
47,Thanasi Kokkinakis,15-30,100,1,.5714286,77
47,Thanasi Kokkinakis,15-40,100,1,.67441863,43
47,Thanasi Kokkinakis,30-0,100,1,.66863906,169
47,Thanasi Kokkinakis,30-15,100,1,.61676645,167
47,Thanasi Kokkinakis,30-30,100,1,.73148149,108
47,Thanasi Kokkinakis,30-40,100,1,.64406782,59
47,Thanasi Kokkinakis,40-0,100,1,.69911504,113
47,Thanasi Kokkinakis,40-15,100,1,.68613136,137
47,Thanasi Kokkinakis,40-30,100,1,.68032789,122
47,Thanasi Kokkinakis,40-40,100,1,.64935064,77
47,Thanasi Kokkinakis,40-50,100,1,.61764705,34
47,Thanasi Kokkinakis,50-40,100,1,.55555558,63
49,Evgeny Donskoy,0-0,100,1,.60792953,454
49,Evgeny Donskoy,0-15,100,1,.64971751,177
49,Evgeny Donskoy,0-30,100,1,.58730161,63
49,Evgeny Donskoy,0-40,100,1,.53846157,26
49,Evgeny Donskoy,15-0,100,1,.65579712,276
49,Evgeny Donskoy,15-15,100,1,.69999999,210
49,Evgeny Donskoy,15-30,100,1,.67000002,100
49,Evgeny Donskoy,15-40,100,1,.61702126,47
49,Evgeny Donskoy,30-0,100,1,.6961326,181
49,Evgeny Donskoy,30-15,100,1,.61881191,202
49,Evgeny Donskoy,30-30,100,1,.66666669,144
49,Evgeny Donskoy,30-40,100,1,.64935064,77
49,Evgeny Donskoy,40-0,100,1,.64285713,126
49,Evgeny Donskoy,40-15,100,1,.69999999,170
49,Evgeny Donskoy,40-30,100,1,.62585032,147
49,Evgeny Donskoy,40-40,100,1,.64761907,105
49,Evgeny Donskoy,40-50,100,1,.65306121,49
49,Evgeny Donskoy,50-40,100,1,.60227275,88
50,Benjamin Becker,0-0,100,1,.65823889,1147
50,Benjamin Becker,0-15,100,1,.62244898,392
50,Benjamin Becker,0-30,100,1,.66891891,148
50,Benjamin Becker,0-40,100,1,.67346936,49
50,Benjamin Becker,15-0,100,1,.64900661,755
50,Benjamin Becker,15-15,100,1,.66797644,509
50,Benjamin Becker,15-30,100,1,.62686568,268
50,Benjamin Becker,15-40,100,1,.67669171,133
50,Benjamin Becker,30-0,100,1,.68367344,490
50,Benjamin Becker,30-15,100,1,.64444447,495
50,Benjamin Becker,30-30,100,1,.68895346,344
50,Benjamin Becker,30-40,100,1,.57868022,197
50,Benjamin Becker,40-0,100,1,.69253731,335
50,Benjamin Becker,40-15,100,1,.66587681,422
50,Benjamin Becker,40-30,100,1,.66931218,378
50,Benjamin Becker,40-40,100,1,.63598329,239
50,Benjamin Becker,40-50,100,1,.58928573,112
50,Benjamin Becker,50-40,100,1,.60913706,197
